tf CAB
0.1 4.8836306887707895e-06
0.10992493744787324 7.072250280951843e-06
0.11984987489574646 9.652414294174445e-06
0.1297748123436197 1.2564376286162875e-05
0.1396997497914929 1.5746232990238425e-05
0.14962468723936614 1.9140900172043174e-05
0.15954962468723938 2.2699378222654914e-05
0.16947456213511258 2.6381596764951142e-05
0.17939949958298584 3.0155903731133445e-05
0.18932443703085905 3.399793167721499e-05
0.19924937447873228 3.788928517091941e-05
0.20917431192660552 4.181628671858063e-05
0.21909924937447875 4.5768887743715805e-05
0.22902418682235198 4.973977574562135e-05
0.2389491242702252 5.372366981624106e-05
0.24887406171809842 5.771677966797777e-05
0.25879899916597165 6.171639846013006e-05
0.26872393661384486 6.572060095360071e-05
0.2786488740617181 6.9728022366116e-05
0.2885738115095913 7.373769784200168e-05
0.29849874895746453 7.77489467748898e-05
0.3084236864053378 8.17612899404515e-05
0.31834862385321105 8.57743904129918e-05
0.32827356130108426 8.978801160150143e-05
0.33819849874895747 9.380198753645786e-05
0.3481234361968307 9.781620188510724e-05
0.358048373644704 0.00010183057316117349
0.36797331109257714 0.00010584504431810289
0.3778982485404504 0.00010985957543723902
0.38782318598832366 0.00011387413859512195
0.3977481234361968 0.0001178887142650816
0.40767306088407007 0.00012190328879574777
0.41759799833194333 0.00012591785264493778
0.4275229357798165 0.00012993239914387795
0.43744787322768974 0.00013394692363282029
0.447372810675563 0.00013796142285597038
0.45729774812343627 0.0001419758945386512
0.4672226855713094 0.00014599033709199633
0.4771476230191827 0.00015000474940619205
0.48707256046705594 0.00015401913070588465
0.4969974979149291 0.00015803348044980163
0.5069224353628023 0.00016204779825982745
0.5168473728106756 0.00016606208387193047
0.5267723102585488 0.00017007633710193257
0.536697247706422 0.00017409055782114798
0.5466221851542953 0.00017810474593976626
0.5565471226021685 0.00018211890139518472
0.5664720600500417 0.0001861330241438202
0.576396997497915 0.00019014711415522314
0.5863219349457882 0.00019416117140819467
0.5962468723936614 0.00019817519588805188
0.6061718098415346 0.000202189187584735
0.6160967472894079 0.00020620314649111347
0.626021684737281 0.00021021707260236863
0.6359466221851543 0.00021423096591521892
0.6458715596330276 0.00021824482642740064
0.6557964970809007 0.00022225865413756638
0.665721434528774 0.0002262724490446148
0.6756463719766472 0.00023028621114814328
0.6855713094245204 0.00023429994044761596
0.6954962468723936 0.00023831363694311948
0.7054211843202669 0.0002423273006344764
0.7153461217681402 0.0002463409315217629
0.7252710592160133 0.00025035452960517135
0.7351959966638866 0.00025436809488488103
0.7451209341117598 0.0002583816273609899
0.755045871559633 0.000262395127033783
0.7649708090075062 0.0002664085939035601
0.7748957464553795 0.0002704220279704088
0.7848206839032528 0.00027443542923470123
0.7947456213511259 0.0002784487976966482
0.8046705587989992 0.0002824621333565747
0.8145954962468724 0.00028647543621469724
